0_0,0_1,0_2,1_0,1_1,1_2,2_0,2_1,2_2
1.0059239,-0.0024948495,-0.00012726057,-0.0053756223,0.9978514,-0.008943629,-0.005137069,-0.0006632008,0.9925619
0.98541814,0.0036105253,-0.00026578546,0.009723513,1.0026311,-0.011191913,-0.0039910823,-0.0021016935,1.0109574
1.0011016,-0.0018985757,-0.005127784,-0.007122775,0.99450135,0.0066960887,0.016853193,0.00022494847,1.0169452
1.0029775,0.0059208367,0.015484437,-0.0068757753,1.0152452,-0.012209122,0.0071655964,0.0046237246,1.0008473
0.99616814,0.0030447321,-0.009328582,-0.00391293,0.9847108,-0.007061971,-0.0017692153,-0.0011134924,0.99976367
0.9886733,-0.007617294,-0.0082128355,0.008235463,1.0032293,0.007225239,-0.0004746011,0.004392437,0.98862326
1.0092624,0.0038848019,0.013840967,0.009052889,0.99673176,-0.0035821667,0.006351816,-0.010855074,0.9964055
0.98279476,0.012790349,0.0027411107,0.017475327,1.022175,0.0125983395,-0.006692936,0.0051357094,0.99746877
1.0023365,0.014101224,0.012740758,0.0027374267,0.99762034,0.0075636553,0.009761312,0.006567732,0.99392974
0.9881491,-0.015860971,0.004697128,0.008091278,1.0069014,0.008779292,-0.004582754,-0.0019146297,1.0083083
0.99817103,0.007373233,0.0042104493,-0.02653465,1.0080084,-0.002504104,-0.002980582,0.0045255884,0.9916279
1.0021843,0.0016655396,-0.010517211,0.00068210915,0.97848904,-0.016432822,-0.0052470695,0.005556301,0.99953306
0.9893951,-0.0019487604,-0.0044025327,0.00022677319,1.0035081,-0.014944181,0.009253517,0.004400507,0.9942587
0.9909334,-0.012311205,0.0022909984,0.0006497462,0.9799757,0.0077316994,0.010065046,0.009752922,1.0228183
0.9895003,-0.01798038,0.008924019,0.011836019,1.0022204,-0.0030668962,0.00786208,0.0023358664,1.0017042
1.0185133,0.009377033,0.0032668447,-0.007469255,1.0081226,0.0050350716,-0.0016326495,0.014137019,0.9966638
0.98163253,-0.0057654264,0.00187365,0.008866242,0.9928316,-0.025488423,0.0030802775,0.009884063,1.000808
0.9880989,-0.010968906,-0.002795493,0.006657486,1.0056022,0.0013946935,-0.011063331,0.011652665,1.0007805
0.99301136,0.0125710005,-0.01806855,0.005290109,1.0092835,0.010881335,0.0053928047,-0.0007171972,0.9796406
1.0088207,0.005624127,-0.005553734,-0.0049062483,1.0048907,0.012470489,-0.004432531,-0.010141187,0.98936623
1.0050176,-0.016172374,0.0050706426,5.3745578e-05,0.9952414,-0.006494585,-0.009441237,-0.00650213,1.0067343
1.0092629,0.011070977,0.01900288,0.010956866,0.9890828,2.1346495e-05,-0.010946565,0.008330104,1.0098581
1.0128577,-0.026217805,-0.012358868,-0.0040411935,0.9974736,-0.014891226,0.0039754943,-0.0031805146,0.98994917
0.98799896,-0.0067619816,0.0064841392,0.027802426,1.0022703,0.00954623,-0.011884032,-0.0064010695,0.98883885
1.0010874,0.0071585905,0.00032621785,-0.0039468114,1.0163053,0.002787798,-0.0064858785,-0.0033172113,1.0067123
0.9897569,-0.006860193,0.0111995805,0.001957574,1.0082088,-0.0053765015,-0.005533063,-0.019223172,0.991737
0.99941343,0.0006926417,-0.0057317475,-0.002355114,1.004619,0.008527016,-0.006425537,0.026411274,1.0000626
1.0036542,0.017246483,0.0043954058,0.0065784077,1.010922,-0.014373882,-0.0033653222,0.011695814,1.0099176
1.0090692,-0.0107476115,-0.005313947,0.0021194257,0.9811267,0.0030646366,-0.007698252,0.011482061,0.9988186
1.0126232,0.00050476735,-0.0008595466,-0.012144439,1.0010107,0.00036057475,0.0049228314,-0.0045145378,1.0041804
0.99947935,0.0011321577,0.008183018,0.0033565909,0.9958345,0.0033333472,0.005585737,0.00022699438,1.0180604
0.99467826,-0.006959008,0.014423307,-0.006658274,1.0003836,-0.010001971,-0.012769586,0.010584198,0.99225706
1.0099386,0.007782636,-0.019280322,0.0034612971,0.99715734,-0.008327503,0.0057860636,0.008858376,0.97764105
1.0015241,0.00025233653,0.0042002345,0.0040241345,0.9971912,-0.008991253,0.021315755,-0.0016248068,1.00336
1.0029346,0.0025358284,-0.0025859145,-0.0025858788,0.9854893,-0.00039712197,0.015328337,-0.0009703355,0.9866771
1.000462,-0.013314014,-0.005019548,-0.013952503,1.003252,0.00608096,0.0017354783,0.0078110048,1.0029199
0.98285294,-0.006489978,0.012361599,0.010185647,1.0023292,-0.009935417,-0.012721848,0.020081094,1.0074166
1.0011078,0.0033007008,-0.0077579557,0.000780594,1.0045605,0.000923652,0.021345254,-0.006097636,0.9955299
0.9866164,-0.0031229826,-0.007286258,0.00045236415,1.0110937,-0.011191697,0.01319205,0.010845471,1.008111
1.0014027,0.008894621,-0.002976291,0.0037066462,1.0049917,0.008242703,0.014562041,-0.007116947,0.9992785
1.0071845,-0.017212866,0.0012314863,0.006709217,1.0060059,-0.008460885,0.0041331584,-0.005727934,0.99538815
0.9912981,0.0017134565,-0.008752902,-0.007206309,1.0100913,-0.015348943,-0.009755718,0.0014446465,1.0024079
0.9950207,0.0025122494,-0.020084303,0.009871414,0.98307216,0.0022523743,0.002810146,-0.0037904163,0.9985333
1.0000589,-0.0024440675,0.012788389,0.0048210756,0.9968238,0.008949354,-0.011103737,0.0020754898,1.007225
0.9999213,-0.008734271,-0.013096328,0.0068884473,0.998776,0.01048953,0.003673803,0.0015139757,1.0080096
1.0125133,0.004217695,0.0052938387,0.0033782553,1.0005487,-0.0077107176,-0.008627287,0.012957058,0.99219555
0.99716717,0.011286275,-0.0032412065,-0.0057947994,1.0178832,0.0044862204,-0.0041648587,0.0059110606,0.99892396
0.99737775,0.0052572447,-0.0018550733,0.01497422,1.0056894,0.008651623,-0.0009007996,0.0034635847,0.9798829
0.98599166,0.002104773,0.0034878622,-0.0069498955,1.0009147,0.004814488,0.008189088,-0.004351383,0.97447723
0.9743325,0.00577366,-0.0006864454,0.0120285405,1.0299065,0.003712963,-0.003992596,0.016936814,1.0182984
0.9998726,0.0097034685,0.01716173,0.01353613,1.0060754,0.0086089745,-0.01791679,-0.0059552575,1.0051601
0.9951724,0.007775874,0.0060269176,0.0075307116,1.0027225,2.5413357e-05,0.015628891,0.020134194,1.0023346
0.9992067,0.011688377,-0.021642026,-0.0071712905,0.987548,0.009217801,0.010802509,-0.015345271,0.9955928
1.0031983,0.0019119249,-0.000360065,-0.007067825,0.9876536,-0.0074213594,-0.0018799957,-0.0014744264,0.9963856
0.9933719,0.0052504665,-0.03436267,-0.01620113,1.0127599,-0.010164645,0.016152367,-0.003350051,0.99163514
1.0037514,-0.009609863,-0.0040544206,-0.011878169,1.0004086,0.0062416038,-0.006788721,-0.012004827,1.0049613
1.0055785,0.005556901,-0.016217887,-0.0009763003,0.99672335,-0.00022737695,-0.01503342,0.00060021976,1.0035881
0.9850639,-0.0075507145,-0.008416243,0.010547804,0.9994324,0.0056865895,-0.010353559,0.005275889,1.0202
1.0190474,-0.010608556,-0.0027861455,-0.007846892,1.0056735,0.015801057,-0.018966414,-0.019756937,0.98559004
0.99573904,-0.0104388045,-0.0031714353,-0.00189167,0.99477804,0.010040182,0.0032241154,-0.0015332618,1.0074552
0.9754287,0.007098543,-0.009571466,-0.011821651,0.9982282,-0.015424147,-0.014185527,-0.0075649447,1.0098648
0.98852396,0.022708433,0.00056198786,0.0035662646,1.00356,-0.010621675,-0.003899058,-0.0010909938,0.99806935
1.0158763,0.0044363043,-0.0075006234,-0.005693645,1.0027131,-0.012792434,0.0056721163,-0.010165063,1.0135187
1.0026767,-0.014369276,-0.0099326465,0.0029609334,0.96787965,0.008078898,0.00066822156,-0.0071396884,0.9965595
0.9773699,0.0049397647,0.006893792,-0.006823411,1.0036346,0.0058594444,0.011788722,0.0009882168,0.9924136
1.0122577,0.0031928273,-0.0011337698,0.01912235,1.0087439,-0.006929826,-0.0019566608,-0.0013513435,1.0096897
1.0089957,0.0041241283,0.0047462615,0.003192956,1.0080137,0.016657842,-0.00063716475,0.0077895313,0.9886794
1.0097252,-0.011964551,0.0007232137,-0.0017749383,1.0022818,-0.015531319,0.009458825,-0.017117597,0.98765296
0.99040955,0.01191259,0.013002137,-0.007295583,0.9904393,-0.0106540425,-0.018983798,-0.0021151078,0.99692976
1.012276,0.0009125403,-0.0023702956,0.019930225,1.0056758,0.0021308046,0.00070654816,0.00024310639,0.9699316
1.0070772,-0.004412313,-0.0024856369,0.0053113205,0.9957674,0.006933891,0.006899337,-0.01895132,0.9874167
0.9905963,-0.016013294,-0.010925042,0.0030845874,1.0070565,0.0046803243,0.0038255833,4.819803e-05,1.0043954
0.9994821,0.0042898324,-0.0022082431,-0.006395064,1.0159363,-0.006487121,0.0041255294,-0.0035795465,0.99653345
0.99416655,-0.024905993,0.0019247538,0.0005048945,1.0216525,-0.0025356624,-0.0018850971,0.0049308175,1.0065445
0.983228,-0.008042144,0.0018834053,0.0051859193,0.9977628,0.0058179465,0.007838139,0.006150982,1.0104618
0.9945384,0.008847148,0.01503741,0.006549359,0.9969969,0.0043789456,-0.008440718,-0.0011984704,1.0065122
1.0117954,-0.016706385,0.005211996,0.012193748,0.9877224,0.000855377,0.0049190456,0.003275036,1.0072471
0.9881746,0.0084108105,0.004517749,-0.00351392,0.9904843,-0.01620356,-0.012995435,0.0011398735,1.0023946
0.992011,-0.003117205,0.007448616,-0.009439663,0.9971217,0.005028199,-0.012206371,-0.011149975,0.99714965
0.99036866,-0.0020924017,0.019113885,0.0075152083,0.9931184,0.010127647,-0.0074403277,0.013091635,0.9927154
0.98944646,0.0034090308,0.0009482774,-0.0008105198,0.99751323,-0.002685419,0.00022716924,-0.010774311,0.9773587
1.0048621,-0.009997382,-0.015419754,0.011118183,0.9915773,-0.011447498,0.0062059844,-0.008131027,1.0055239
0.98100495,0.0028952654,-0.020313732,-0.012089637,0.98882043,0.008912137,-0.007752112,0.004959182,1.0235507
